City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
4030556,rikitea,0,PF,1603139767,78,-23.12,-134.97,74.14,12.82
2063036,port lincoln,100,AU,1603139878,86,-34.73,135.87,55.89,12.62
3833367,ushuaia,90,AR,1603139753,80,-54.8,-68.3,39.2,38.03
3369157,cape town,40,ZA,1603139878,67,-33.93,18.42,61.0,10.29
5880054,barrow,90,US,1603139362,85,71.29,-156.79,21.2,10.29
544397,kortkeros,75,RU,1603139878,100,61.81,51.58,33.8,6.71
212730,kisangani,63,CD,1603139878,92,0.52,25.2,71.19,1.74
6201424,mataura,81,NZ,1603139755,83,-46.19,168.86,46.0,8.99
4035715,avarua,0,CK,1603139767,78,-21.21,-159.78,78.8,5.82
5554428,ketchikan,90,US,1603139843,100,55.34,-131.65,46.4,11.41
3372472,vila franca do campo,20,PT,1603139879,87,37.72,-25.43,59.0,5.82
1502257,kozhevnikovo,100,RU,1603139879,82,56.26,83.97,35.65,13.31
3374346,ponta do sol,20,CV,1603139879,69,17.2,-25.09,82.4,9.17
1502063,krasnoturansk,100,RU,1603139879,79,54.32,91.56,28.4,8.48
5983720,iqaluit,80,CA,1603139879,94,63.75,-68.51,25.84,5.06
2112802,hasaki,75,JP,1603139879,100,35.73,140.83,52.0,4.7
935215,saint-philippe,40,RE,1603139879,77,-21.36,55.77,69.8,6.93
3896218,castro,75,CL,1603139768,50,-42.47,-73.77,51.8,5.82
780687,berlevag,75,NO,1603139772,74,70.86,29.09,39.2,18.34
6096551,pangnirtung,100,CA,1603139772,93,66.15,-65.71,27.0,3.33
2077963,albany,90,AU,1603139362,82,-35.02,117.89,59.0,6.93
4011743,constitucion,5,MX,1603139880,14,23.99,-104.67,80.6,3.51
5848280,kapaa,75,US,1603139766,78,22.08,-159.32,86.0,6.93
64814,bandarbeyla,0,SO,1603139880,75,9.49,50.81,78.17,1.12
1651591,amahai,95,ID,1603139880,92,-3.33,128.92,80.01,3.2
2120612,tigil,18,RU,1603139880,95,57.8,158.67,32.49,7.09
2075265,busselton,0,AU,1603139768,74,-33.65,115.33,55.0,9.84
3423146,ilulissat,100,GL,1603139881,52,69.22,-51.1,41.0,17.22
2160053,lithgow,100,AU,1603139881,94,-33.48,150.15,48.99,4.12
3401148,cururupu,73,BR,1603139881,73,-1.83,-44.87,80.26,4.36
1516589,zhezkazgan,1,KZ,1603139881,51,47.8,67.71,47.59,7.11
484972,oktyabrsk,100,RU,1603139881,65,53.16,48.67,42.46,4.92
2015306,tiksi,100,RU,1603139881,93,71.69,128.87,14.74,22.79
2068110,kununurra,79,AU,1603139882,88,-15.77,128.73,80.6,3.36
5962442,goderich,100,CA,1603139882,77,43.74,-81.71,48.99,1.99
2377457,nouadhibou,0,MR,1603139882,35,20.93,-17.03,86.0,17.22
1264976,leh,0,IN,1603139882,52,34.17,77.58,35.76,8.01
2206939,bluff,95,NZ,1603139767,83,-46.6,168.33,46.0,8.99
3374333,praia,97,CV,1603139685,69,14.92,-23.51,82.4,11.41
3471451,arraial do cabo,40,BR,1603139763,69,-22.97,-42.03,75.2,23.04
1015776,bredasdorp,100,ZA,1603139218,62,-34.53,20.04,59.0,6.93
5855927,hilo,75,US,1603139614,62,19.73,-155.09,84.2,6.93
3883457,lebu,0,CL,1603139362,58,-37.62,-73.65,55.38,11.86
885800,mount darwin,0,ZW,1603139883,23,-16.77,31.58,73.31,5.39
3874787,punta arenas,40,CL,1603139735,65,-53.15,-70.92,44.6,36.91
1278985,alappuzha,41,IN,1603139883,84,9.49,76.33,78.87,3.53
3370903,jamestown,0,SH,1603139667,98,-15.94,-5.72,62.01,21.47
2123614,makarov,2,RU,1603139883,87,48.63,142.8,33.96,9.15
4036284,alofi,75,NU,1603139883,73,-19.06,-169.92,77.0,13.87
2126123,chokurdakh,92,RU,1603139770,98,70.63,147.92,15.64,6.55
2156643,mount gambier,90,AU,1603139884,100,-37.83,140.77,37.4,1.12
3146487,raudeberg,96,NO,1603139884,66,61.99,5.14,41.0,5.82
2121385,severo-kurilsk,73,RU,1603139776,71,50.68,156.12,40.06,8.05
2160063,codrington,40,AU,1603139945,77,-28.95,153.24,62.6,5.82
2181625,te anau,24,NZ,1603139832,66,-45.42,167.72,49.17,4.56
1006984,east london,12,ZA,1603139945,84,-33.02,27.91,66.13,3.38
1810240,gejiu,100,CN,1603139945,100,23.31,103.16,47.43,2.44
2639563,redcar,100,GB,1603139945,78,54.62,-1.06,54.0,15.01
5911745,burns lake,70,CA,1603139946,76,54.23,-125.75,41.31,4.74
305681,kumluca,99,TR,1603139946,61,36.37,30.29,72.81,1.83
4020109,atuona,0,PF,1603139753,74,-9.8,-139.03,78.6,18.59
3445026,vila velha,75,BR,1603139946,73,-20.33,-40.29,75.2,5.82
2155415,new norfolk,63,AU,1603139946,84,-42.78,147.06,46.0,2.26
4032243,vaini,20,TO,1603139747,78,-21.2,-175.2,71.6,11.41
2017155,saskylakh,91,RU,1603139770,97,71.92,114.08,21.27,4.14
581049,arkhangelsk,90,RU,1603139947,92,64.54,40.54,30.2,6.71
3366880,hermanus,100,ZA,1603139757,79,-34.42,19.23,55.0,14.76
6324729,halifax,78,CA,1603139649,93,44.65,-63.57,59.0,2.57
2071860,esperance,90,AU,1603139947,100,-33.87,121.9,59.0,10.29
88533,awjilah,6,LY,1603139947,53,29.11,21.29,73.81,9.33
2427949,melfi,25,TD,1603139947,39,11.06,17.94,78.31,4.14
3443061,chuy,0,UY,1603139760,69,-33.7,-53.46,74.5,6.13
546633,kokorevka,47,RU,1603139948,78,52.59,34.28,38.43,8.41
2065594,mount isa,35,AU,1603139948,18,-20.73,139.5,73.4,4.7
933995,souillac,20,MU,1603139948,73,-20.52,57.52,73.4,8.05
6170031,tuktoyaktuk,91,CA,1603139772,98,69.45,-133.04,23.25,4.59
3034639,bastia,30,FR,1603139948,87,42.67,9.33,57.99,3.36
889453,kadoma,0,ZW,1603139948,23,-18.33,29.92,70.34,6.76
2051471,dalnegorsk,4,RU,1603139949,78,44.56,135.57,37.15,4.32
3894426,coihaique,75,CL,1603139949,61,-45.58,-72.07,46.4,6.93
3457147,mineiros,45,BR,1603139726,60,-17.57,-52.55,79.14,6.67
2152667,portland,5,AU,1603139949,86,-38.33,141.6,47.34,3.71
2063042,port hedland,0,AU,1603139949,94,-20.32,118.57,71.6,10.29
6068416,mayo,100,CA,1603139949,84,63.59,-135.9,21.33,1.95
3671576,puerres,75,CO,1603139949,77,1.19,-77.27,60.8,9.17
3430443,necochea,22,AR,1603139949,61,-38.55,-58.74,57.0,8.99
1810295,gaozhou,11,CN,1603139950,79,21.94,110.85,65.61,5.64
2409914,bonthe,98,SL,1603139736,88,7.53,-12.51,78.85,5.12
5870133,nome,90,US,1603139950,93,64.5,-165.41,37.4,5.82
602150,umea,100,SE,1603139950,97,63.83,20.26,32.0,10.29
2973355,tarnos,100,FR,1603139950,33,43.54,-1.46,75.2,11.41
2206900,westport,100,NZ,1603139950,70,-41.75,171.6,55.56,6.42
1507390,dikson,98,RU,1603139760,95,73.51,80.55,23.81,17.74
3372707,ribeira grande,40,PT,1603139950,72,38.52,-28.7,62.6,12.75
2023469,markova,40,RU,1603139950,92,52.21,104.21,26.6,11.18
5563839,fortuna,75,US,1603139765,93,40.6,-124.16,63.0,4.7
5563397,eureka,90,US,1603139951,93,40.8,-124.16,63.0,8.05
3671519,puerto carreno,80,CO,1603139691,66,6.19,-67.49,87.84,5.7
2411397,georgetown,100,SH,1603139362,76,-7.93,-14.42,75.27,12.41
3414079,olafsvik,92,IS,1603139951,73,64.89,-23.71,39.54,10.58
3361934,saldanha,100,ZA,1603139951,67,-33.01,17.94,59.0,2.24
1787858,shangrao,43,CN,1603139951,92,28.45,117.97,54.57,3.94
3533462,acapulco,40,MX,1603139718,74,16.86,-99.89,87.8,4.7
964420,port elizabeth,99,ZA,1603139788,87,-33.92,25.57,60.8,12.75
3985168,san patricio,40,MX,1603139952,70,19.22,-104.7,91.4,11.41
215527,kabinda,98,CD,1603139952,88,-6.13,24.48,69.49,1.9
5394329,selma,40,US,1603139903,28,36.57,-119.61,87.01,3.36
3424607,tasiilaq,50,GL,1603139772,86,65.61,-37.64,33.8,12.75
934649,cap malheureux,26,MU,1603140013,73,-19.98,57.61,73.0,1.99
964712,plettenberg bay,100,ZA,1603140013,82,-34.05,23.37,59.63,10.18
305810,kula,94,TR,1603140013,82,38.55,28.65,55.71,2.68
108410,riyadh,0,SA,1603139889,23,24.69,46.72,69.8,5.82
1636308,manokwari,100,ID,1603140014,76,-0.87,134.08,80.8,8.5
3388341,sao luis do quitunde,20,BR,1603139751,74,-9.32,-35.56,78.8,12.75
2126199,cherskiy,12,RU,1603140014,94,68.75,161.3,17.29,3.6
1337610,thinadhoo,100,MV,1603139814,78,0.53,72.93,82.4,12.24
3673397,paez,100,CO,1603140014,75,5.1,-73.05,72.5,3.22
1715015,dicabisagan,100,PH,1603140014,87,17.08,122.42,79.68,15.7
5859699,college,90,US,1603139822,79,64.86,-147.8,19.4,3.36
3386467,terra santa,73,BR,1603140015,27,-2.1,-56.49,96.13,4.36
2161515,kiama,87,AU,1603140015,85,-34.68,150.87,61.0,1.01
241131,victoria,40,SC,1603140015,78,-4.62,55.45,80.6,2.24
1795632,shenjiamen,21,CN,1603140015,76,29.96,122.3,65.39,14.56
5606187,saint anthony,1,US,1603140015,50,43.97,-111.68,55.4,20.8
2084442,vanimo,12,PG,1603139825,84,-2.67,141.3,77.83,3.94
5826559,green river,1,US,1603140015,27,41.53,-109.47,62.6,33.33
2163355,hobart,75,AU,1603139617,87,-42.88,147.33,46.99,5.82
3668605,santa marta,77,CO,1603140015,65,11.24,-74.2,90.0,1.01
3459094,laguna,0,BR,1603139731,82,-28.48,-48.78,71.22,22.01
524304,murmansk,95,RU,1603140016,99,68.0,34.0,28.36,6.44
2450173,taoudenni,0,ML,1603140016,19,22.68,-3.98,84.4,12.44
1640344,kendari,58,ID,1603140016,90,-3.94,122.5,73.33,3.06
3385899,tutoia,9,BR,1603140016,78,-2.76,-42.27,80.64,10.65
107304,buraydah,0,SA,1603140016,34,26.33,43.98,68.0,2.24
5847411,kahului,40,US,1603140016,55,20.89,-156.47,87.8,9.17
2013279,vostok,0,RU,1603139717,98,46.49,135.88,26.69,2.66
2012956,yerbogachen,99,RU,1603140017,92,61.28,108.01,24.82,11.21
2126785,belaya gora,91,RU,1603140017,94,68.53,146.42,11.26,3.22
2162662,inverell,92,AU,1603140017,78,-29.78,151.12,62.01,1.99
3598787,champerico,75,GT,1603139811,63,14.3,-91.92,91.4,9.17
1282256,hithadhoo,100,MV,1603140017,78,-0.6,73.08,82.51,12.37
3463124,formosa do rio preto,93,BR,1603140017,39,-11.05,-45.19,84.72,2.44
1267390,kavaratti,100,IN,1603140017,75,10.57,72.64,80.74,11.5
3416888,grindavik,75,IS,1603139731,74,63.84,-22.43,37.4,5.82
373141,kaduqli,7,SD,1603140017,67,11.02,29.72,77.0,3.6
3985710,cabo san lucas,5,MX,1603139771,62,22.89,-109.91,91.99,8.05
721411,deszk,51,HU,1603140018,82,46.22,20.24,50.0,4.45
2129101,muroran,0,JP,1603140018,58,42.32,140.99,53.69,12.68
3408424,ipixuna,75,BR,1603140018,94,-1.76,-48.8,73.4,3.36
5354943,half moon bay,5,US,1603140000,60,37.46,-122.43,78.01,5.82
1153555,chumphon,32,TH,1603140018,99,10.33,98.83,71.24,0.31
1007311,durban,75,ZA,1603140018,88,-29.86,31.03,68.0,4.7
1517323,zhanakorgan,0,KZ,1603140019,50,43.91,67.25,49.39,4.16
3877348,panguipulli,20,CL,1603140019,44,-39.63,-72.33,59.0,11.41
2088122,port moresby,99,PG,1603140019,88,-9.44,147.18,76.91,5.03
4031637,lavrentiya,6,RU,1603139760,78,65.58,-171.0,34.14,4.05
3831208,qaanaaq,53,GL,1603140019,86,77.48,-69.36,29.88,10.94
5282297,bethel,90,US,1603139788,72,41.37,-73.41,62.01,6.93
1166073,sarai alamgir,0,PK,1603140020,68,32.9,73.76,68.0,1.54
777019,vardo,75,NO,1603139666,69,70.37,31.11,41.0,16.11
5367788,lompoc,1,US,1603140060,77,34.64,-120.46,66.2,13.87
1651810,airai,2,TL,1603139767,59,-8.93,125.41,60.04,2.35
4167694,panama city,40,US,1603140063,48,30.16,-85.66,86.0,9.17
3438102,fuerte olimpo,30,PY,1603140081,54,-21.04,-57.87,88.66,4.23
5866583,kodiak,90,US,1603139530,75,57.79,-152.41,42.8,9.17
480085,tuzha,89,RU,1603140082,94,57.61,47.94,36.59,7.83
2422968,boffa,93,GN,1603140082,84,10.17,-14.03,80.06,1.54
2130188,hakodate,0,JP,1603139890,63,41.78,140.74,48.52,5.97
1258338,ratnagiri,42,IN,1603140082,83,16.98,73.3,76.46,2.95
1260120,pathri,77,IN,1603140082,87,19.25,76.45,75.04,4.94
3421765,nanortalik,96,GL,1603140082,89,60.14,-45.24,37.18,6.71
546105,nikolskoye,90,RU,1603140082,95,59.7,30.79,37.4,6.71
2027740,amurzet,0,RU,1603140082,88,47.7,131.1,33.31,1.28
1488903,turukhansk,100,RU,1603140083,97,65.82,87.98,11.41,3.94
3435038,dolores,98,AR,1603140083,76,-36.31,-57.68,63.84,16.37
3460355,jaciara,52,BR,1603140083,55,-15.97,-54.97,84.79,8.32
3573197,hamilton,40,BM,1603140083,69,32.29,-64.78,79.0,17.22
1214488,meulaboh,90,ID,1603140083,85,4.14,96.13,76.3,4.03
53372,odweyne,0,SO,1603140083,25,9.41,45.06,76.35,11.01
3355672,luderitz,0,NA,1603140083,72,-26.65,15.16,59.61,24.4
5924351,clyde river,100,CA,1603139771,98,70.47,-68.59,31.87,5.12
2512186,puerto del rosario,20,ES,1603140084,83,28.5,-13.86,73.4,1.7
710400,chortkiv,74,UA,1603140084,83,49.02,25.8,48.0,5.01
367644,sinnar,23,SD,1603140084,40,13.57,33.57,87.06,9.73
3418910,upernavik,9,GL,1603140084,79,72.79,-56.15,35.67,18.92
2110227,butaritari,82,KI,1603139772,76,3.07,172.79,82.0,11.3
2167426,emerald,0,AU,1603140084,49,-23.53,148.17,68.0,6.93
3141667,roald,0,NO,1603140084,80,62.58,6.13,35.6,10.29
4034551,faanui,0,PF,1603140085,81,-16.48,-151.75,79.27,18.52
5861897,fairbanks,90,US,1603139951,85,64.84,-147.72,19.4,2.24
610298,beyneu,0,KZ,1603140067,33,45.32,55.2,56.08,15.05
6255012,flinders,80,AU,1603140085,81,-34.58,150.86,61.0,1.01
3652764,puerto ayora,75,EC,1603140085,69,-0.74,-90.35,77.0,14.99
5324903,arvin,4,US,1603140085,31,35.21,-118.83,88.0,7.0
1793286,tangzhai,29,CN,1603140085,49,34.43,116.59,54.07,3.94
964432,port alfred,41,ZA,1603139757,88,-33.59,26.89,64.49,12.03
4021858,guerrero negro,0,MX,1603140086,39,27.98,-114.06,86.31,12.77
6165406,thompson,99,CA,1603140086,90,55.74,-97.86,30.36,8.39
2015686,talakan,1,RU,1603139818,91,50.32,130.37,29.34,4.52
2037485,erenhot,100,CN,1603140086,43,43.65,111.98,49.15,22.88
2025256,chumikan,0,RU,1603140086,84,54.72,135.31,28.72,24.11
2729907,longyearbyen,75,SJ,1603140086,86,78.22,15.64,26.6,11.41
5813747,toppenish,1,US,1603140086,40,46.38,-120.31,68.0,4.7
6144195,senneterre,24,CA,1603140086,72,48.38,-77.23,39.58,3.49
3380290,sinnamary,28,GF,1603140087,75,5.38,-52.95,82.99,11.86
935616,le port,9,RE,1603140087,69,-20.94,55.29,73.4,11.41
2070998,geraldton,90,AU,1603140087,77,-28.77,114.6,66.2,11.41
2022572,khatanga,6,RU,1603140050,96,71.97,102.5,7.97,1.83
2034615,tahe,69,CN,1603140087,97,52.33,124.73,29.77,2.33
380348,abu zabad,51,SD,1603140087,42,12.35,29.25,85.39,9.82
6180550,whitehorse,100,CA,1603140070,67,60.72,-135.05,25.0,0.56
3347019,namibe,20,AO,1603140088,72,-15.2,12.15,70.18,2.59
1490256,talnakh,90,RU,1603139586,92,69.49,88.4,12.2,11.18
3381428,iracoubo,16,GF,1603140088,76,5.48,-53.2,82.96,12.24
3982837,sonoita,0,MX,1603140088,15,31.85,-112.83,96.01,1.01
3419842,sisimiut,100,GL,1603140088,82,66.94,-53.67,36.73,14.36
2132606,samarai,11,PG,1603140088,87,-10.62,150.67,79.75,7.9
1634614,nabire,100,ID,1603140149,85,-3.37,135.48,75.65,2.77
2537881,asfi,74,MA,1603140150,70,32.3,-9.24,67.21,9.84
6127749,rosetown,98,CA,1603140150,47,51.55,-108.0,28.0,5.01
6185377,yellowknife,95,CA,1603140112,89,62.46,-114.35,28.0,3.0
2063056,port augusta,100,AU,1603140150,93,-32.5,137.77,53.01,5.82
2189343,kaeo,100,NZ,1603140150,84,-35.1,173.78,63.0,8.99
1214026,sabang,97,ID,1603140150,74,5.89,95.32,82.8,10.8
3470137,belmonte,75,BR,1603140150,69,-15.86,-38.88,77.0,6.93
3393692,itarema,10,BR,1603140151,75,-2.92,-39.92,79.52,18.79
1242110,kalmunai,69,LK,1603140151,78,7.42,81.82,78.31,4.5
1649150,bengkulu,100,ID,1603139770,84,-3.8,102.27,76.33,3.02
1802618,longhua,79,CN,1603140151,81,23.61,114.19,61.23,3.65
3430863,mar del plata,99,AR,1603140069,36,-38.0,-57.56,60.8,17.22
2094342,kavieng,70,PG,1603140151,71,-2.57,150.8,82.44,2.24
4944903,nantucket,1,US,1603139513,63,41.28,-70.1,60.8,5.82
5557293,sitka,75,US,1603140152,75,57.05,-135.33,44.6,3.36
2013727,vanavara,100,RU,1603140152,96,60.34,102.28,25.0,14.58
1650298,bangkalan,93,ID,1603140152,76,-7.05,112.74,79.05,5.75
2136825,isangel,75,VU,1603140152,88,-19.55,169.27,73.4,6.93
5989403,kapuskasing,72,CA,1603140152,76,49.42,-82.43,37.81,3.78
986717,kruisfontein,100,ZA,1603140153,80,-34.0,24.73,60.01,4.0
3353383,rundu,0,NA,1603140153,20,-17.93,19.77,72.57,2.42
1633419,padang,8,ID,1603140153,70,-0.95,100.35,77.97,4.52
1056899,sambava,86,MG,1603140153,75,-14.27,50.17,74.89,13.42
5882953,aklavik,100,CA,1603140153,93,68.22,-135.01,20.26,9.37
1244926,hambantota,87,LK,1603140129,81,6.12,81.12,79.05,16.08
5545269,price,1,US,1603140153,20,39.6,-110.81,66.2,6.93
2173911,broken hill,40,AU,1603140154,54,-31.95,141.43,53.6,9.17
2074865,carnarvon,90,AU,1603140154,72,-24.87,113.63,68.0,13.87
8079926,labuhan,74,ID,1603140154,81,-6.88,112.21,77.83,7.52
153955,micheweni,0,TZ,1603140154,80,-4.97,39.83,77.99,8.41
4015683,canatlan,5,MX,1603140154,14,24.52,-104.78,80.6,4.47
6067472,marystown,63,CA,1603139892,100,47.17,-55.15,57.0,5.28
4686163,dickinson,75,US,1603140155,74,29.46,-95.05,84.99,11.41
1862505,hirara,73,JP,1603139937,82,24.8,125.28,79.59,25.17
1153035,kathu,20,TH,1603140155,100,7.92,98.33,84.99,3.36
2450849,sokolo,0,ML,1603140155,17,14.73,-6.12,90.39,7.11
1785974,yuci,69,CN,1603140155,44,37.68,112.73,37.4,3.24
1264244,majholi,89,IN,1603140155,68,23.5,79.92,74.23,1.92
4031574,provideniya,31,RU,1603140156,79,64.38,-173.3,28.4,4.47
2964492,dunmore east,40,IE,1603140156,87,52.15,-6.99,55.99,20.8
1636426,manggar,98,ID,1603140156,81,-2.88,108.27,80.15,5.17
556268,ostrovnoy,89,RU,1603140156,81,68.05,39.51,35.94,16.17
2075720,broome,84,AU,1603140156,83,-17.97,122.23,78.8,9.17
132938,gonbad-e qabus,0,IR,1603140156,22,37.25,55.17,65.97,2.3
1106677,bambous virieux,20,MU,1603140156,73,-20.34,57.76,73.4,8.05
2093685,kokopo,19,PG,1603140157,82,-4.35,152.26,78.96,3.29
101628,tabuk,0,SA,1603140157,13,28.38,36.58,78.8,5.82
2028164,deputatskiy,100,RU,1603140157,95,69.3,139.9,9.36,4.61
3372964,lagoa,50,PT,1603140084,72,39.05,-27.98,63.79,35.12
4278471,russell,90,US,1603140157,49,38.9,-98.86,46.4,4.7
3901903,uyuni,83,BO,1603140137,25,-20.46,-66.83,64.31,14.07
3945985,camana,39,PE,1603140157,67,-16.62,-72.71,65.77,7.31
4231997,avera,1,US,1603140158,47,33.19,-82.53,78.8,4.7
1502697,kondinskoye,59,RU,1603140158,96,59.65,67.41,35.91,7.29
6620339,karratha,0,AU,1603140219,84,-20.74,116.85,64.06,8.93
2974733,sete,90,FR,1603140219,82,43.4,3.7,60.8,18.34
